11;S11;S12;F4 — Interv. Avançada;Aulas avançadas (compensação e protocolos) — GE + GC;;;
12;S12;S13;F4 — Interv. Avançada;Modo Avaliação do SUT (sem IA);;;
13;S13;S14;F5 — Aval. Final;"Revisão geral GE; Avaliação intermediária 2 (O₃)";🔴 O₃;;
14;S14;S16;F5 — Aval. Final;"Questionário SUS (GE); Pós-teste final (O₄)";🔴 O₄;;
15;S16;F5 — Aval. Final;Exportação completa dos dados do SUT;✅ Coleta encerrada;;
16;S17;F6 — Análise;"Processamento estatístico (testes t, Shapiro-Wilk)";;;
17;S18;F6 — Análise;"Análise dados SUT (sessões, win rate, badges); d de Cohen";;;
18;S19;F6 — Análise;"Cruzamento de dados (software × notas); Pearson";;;
19;S20;S20;F6 — Relatório;Redação do relatório final de validação;;;
20;S20;S20;F6 — Relatório;Entrega do relatório final IEEE 829;✅ Relatório final;;
—;após S20;após S20;MESTRADO;Redação da dissertação e defesa;🎓 Defesa;;
;;;;;;;;
RESUMO POR FASE;;;;;;;;
Fase;Início;Término;Duração;Semanas;;;
F1 — Preparação;S1;S3;19 dias;1–3;;;
F2 — Intervenção Inicial;S3;S6;20 dias;4–6;;;
Intervalo;S6;S7;6 dias;—;;;
F3 — Avaliação Intermediária 1;S7;S10;20 dias;7–9;;;
F4 — Intervenção Avançada;S10;S13;20 dias;10–12;;;
F5 — Avaliação Final e Coleta;S13;S16;20 dias;13–15;;;
F6 — Análise e Relatório;S17;S20;32 dias;16–20;;;
TOTAL DA VALIDAÇÃO;S1;S20;144 dias;20 semanas;;;
Mestrado (redação + defesa);após S20;após S20;31 dias;—;;;
;;;;;;;;
MARCOS CRÍTICOS (MILESTONES);;;;;;;;
Marco;Data;Descrição;;;;;
🔴 O₁;S3;Pré-teste diagnóstico (GE + GC);;;;;
🔴 O₂;S9 – S10;Avaliação intermediária 1 — distúrbios metabólicos;;;;;
🔴 O₃;S14 – S15;Avaliação intermediária 2 — distúrbios respiratórios e mistos;;;;;
🔴 O₄;S15 – S16;Pós-teste final — avaliação abrangente;;;;;
✅ Coleta;S16;Encerramento da coleta de dados;;;;;
✅ Relatório;S20;Entrega do relatório final de validação (IEEE 829);;;;;
🎓 Defesa;Agosto/2026;Defesa do mestrado;;;;;
;;;;;;;;
;;;;;;;;
=== SEÇÃO 10 — INSTRUMENTOS DE COLETA DE DADOS ===;;;;;;;;
;;;;;;;;
INSTRUMENTOS APLICADOS PELO PESQUISADOR;;;;;;;;
ID;Instrumento;Momento;Amostra;Formato;Referência;;
I-01;Pré-teste diagnóstico;S3 (O₁);GE + GC;20 objetivas + 3 discursivas (0–10);PROTOCOLO_CEP.md Apêndice A;;
I-02;Avaliação intermediária 1;S9 – S10 (O₂);GE + GC;Prova teórico-prática (0–10);—;;
I-03;Avaliação intermediária 2;S14 – S15 (O₃);GE + GC;Prova teórico-prática (0–10);—;;
I-04;Pós-teste final;S15 – S16 (O₄);GE + GC;20 objetivas + 3 discursivas (0–10);PROTOCOLO_CEP.md Apêndice A;;
I-05;Questionário de satisfação;S15;GE apenas;Escala Likert 5 pontos (SUS adaptado);PROTOCOLO_CEP.md Apêndice B;;
;;;;;;;;
DADOS COLETADOS AUTOMATICAMENTE PELO SUT;;;;;;;;
ID;Dado;Tabela no Banco;Tipo;Granularidade;;;
D-01;Sessões de simulação;simulation_sessions;Quantitativo;Por sessão;;;
D-02;Snapshots de parâmetros;session_history;Quantitativo;Por tick (1s);;;
D-03;Decisões clínicas;session_decisions;Qualitativo/Quantitativo;Por evento;;;
D-04;Tratamentos aplicados;session_treatments;Quantitativo;Por evento;;;
D-05;Badges conquistados;user_badges;Quantitativo;Por conquista;;;
D-06;Ranking semanal;weekly_ranking_history;Quantitativo;Semanal;;;
D-07;Notas de simulação;simulation_notes;Qualitativo;Por anotação;;;
